file_id,blur_type,sigma
000001,motion,0.02222363553551515
000002,motion,0.027354840484730653
000003,defocus,0.010857853563143647
000004,defocus,0.011891020082750066
000005,defocus,0.012936853834229833
000006,motion,0.02401160183710011
000007,motion,0.015437553822692405
000008,motion,0.01773565184564293
000009,defocus,0.01196836914709624
000010,defocus,0.005910214346650675
000011,defocus,0.016381470086301538
000012,defocus,0.009775393410341735
000013,motion,0.00745994672013081
000014,motion,0.01130551506847729
000015,motion,0.01828178453782026
000016,motion,0.02339009088999899
000017,motion,0.008965167611890583
000018,motion,0.008741799754286532
000019,defocus,0.013998783776446536
000020,defocus,0.0081917925267868
000021,defocus,0.019470912179293514
000022,motion,0.013261850073305922
000023,defocus,0.02166050246022572
000024,defocus,0.0038876486256829825
000025,defocus,0.00861639489285019
000026,defocus,0.01238021216950089
000027,motion,0.015572907636311825
000028,motion,0.026285517564697682
000029,motion,0.005975738096551268
000030,motion,0.0033988971272424285
000031,defocus,0.02464695738686423
000032,defocus,0.006424051349471575
000033,defocus,0.00838712899105834
000034,defocus,0.02490672819869988
000035,motion,0.020349459592753964
000036,motion,0.01128352690115126
000037,defocus,0.004804660017098339
000038,motion,0.014734760741176854
000039,defocus,0.01952279362233239
000040,defocus,0.013754667830650465
000041,defocus,0.01431212645063825
000042,motion,0.004192093955292927
000043,motion,0.016235653911546785
000044,defocus,0.02124253373856
000045,defocus,0.024605612997074585
000046,motion,0.006099189936430998
000047,motion,0.002144020075725536
000048,motion,0.02353101615754844
000049,motion,0.02092283345809637
000050,motion,0.019948455136360437
000051,defocus,0.024291032530168587
000052,defocus,0.01590789314413286
000053,defocus,0.011167754013492268
000054,defocus,0.013003018028887344
000055,motion,0.02491838530285475
000056,defocus,0.018666199918049225
000057,motion,0.024167279431083724
000058,motion,0.006605396933059629
000059,defocus,0.010279413135603568
000060,motion,0.02370670125325734
000061,defocus,0.02590981723443902
000062,motion,0.006828495288273193
000063,defocus,0.023625318362882033
000064,defocus,0.021175316432021658
000065,defocus,0.014193388254000005
000066,defocus,0.018579209320203786
000067,motion,0.016347445352064973
000068,defocus,0.02534024728805105
000069,motion,0.018704922451592592
000070,motion,0.020652840165015767
000071,defocus,0.02644565055326212
000072,motion,0.025933597487250614
000073,motion,0.00320079066860971
000074,defocus,0.01504290905711219
000075,motion,0.026527710925111626
000076,defocus,0.01337429408532292
000077,motion,0.019045343426814833
000078,defocus,0.0019291866352823836
000079,motion,0.01974628118082105
000080,motion,0.010588803185543541
000081,motion,0.008978287630575283
000082,motion,0.002764885251819215
000083,motion,0.01619345962604276
000084,motion,0.005308280875483171
000085,defocus,0.006557821836529297
000086,defocus,0.022886502018344267
000087,defocus,0.016239451502550028
000088,defocus,0.023920182277277328
000089,motion,0.015432685808191208
000090,defocus,0.0141751028263061
000091,motion,0.023585149261679216
000092,motion,0.024682172669053554
000093,motion,0.008678125138908397
000094,motion,0.024024612100111014
000095,defocus,0.019633776303147984
000096,motion,0.01027867468681166
000097,defocus,0.01686006937734113
000098,motion,0.022719854751630922
000099,defocus,0.006904167986256863
000100,motion,0.02418440597150685
000101,motion,0.0118326765743953
000102,motion,0.0005480137650811707
000103,defocus,0.017001415585314185
000104,motion,0.015046574108927641
000105,motion,0.011947348876704816
000106,defocus,0.011753691909571718
000107,defocus,0.014782085635368645
000108,defocus,0.02301941370387753
000109,defocus,0.015890947243152636
000110,defocus,0.005222903594815282
000111,defocus,0.007568680173412838
000112,defocus,0.008109086960020436
000113,motion,0.003045300460829457
000114,motion,0.02516264391666435
000115,motion,0.02437217331286374
000116,motion,0.021317460016418623
000117,defocus,0.018709010634034344
000118,motion,0.017328781218004352
000119,motion,0.022905236879678614
000120,defocus,0.02466897586525618
000121,defocus,0.004973333373225277
000122,defocus,0.020935009462781234
000123,motion,0.02128023747835538
000124,motion,0.023283657638761515
000125,defocus,0.012977257921992854
000126,defocus,0.013233758164106347
000127,motion,0.017477089818789607
000128,defocus,0.0031381590524724424
000129,motion,0.00012652338222569963
000130,motion,0.0074274795027223705
000131,defocus,0.01705533432913984
000132,defocus,0.023633415454350496
000133,defocus,0.009978526991162738
000134,defocus,0.006059062199825238
000135,motion,0.010126307222897793
000136,motion,0.01877276765227335
000137,motion,0.023751159789065415
000138,motion,0.013883073206901925
000139,defocus,0.0220386554186296
000140,motion,0.022865850181368684
000141,motion,0.0009004114481069416
000142,defocus,0.020176900188674053
000143,defocus,0.0148106599305476
000144,motion,0.01655281622564564
000145,motion,0.018744090264122704
000146,motion,0.007274313919502658
000147,motion,0.009898958985634688
000148,motion,0.018403666002594236
000149,motion,0.02444947721862415
000150,defocus,0.01199261477665906
000151,defocus,0.01718457278484492
000152,motion,0.024433450111557155
000153,motion,0.008657937659787085
000154,motion,0.0011096114620879453
000155,defocus,0.027384436624390454
000156,motion,0.0033131681554652895
000157,motion,0.023133476259978827
000158,defocus,0.01988361097070138
000159,motion,0.021032591860242384
000160,defocus,0.003605628747169615
000161,defocus,0.004256469054842003
000162,motion,0.013393773189519613
000163,defocus,0.019919456135142687
000164,motion,0.019884950107988172
000165,defocus,0.007296707655559628
000166,motion,0.016052622652961552
000167,motion,0.01934942814488116
000168,motion,0.016625009778999965
000169,motion,0.005257187507529535
000170,defocus,0.008720833547565462
000171,motion,0.0040783731575759425
000172,defocus,0.016500166003570363
000173,defocus,0.020682837350696735
000174,motion,0.026197067452751768
000175,defocus,0.0003041019344469936
000176,defocus,0.02082071597009805
000177,defocus,0.007033814977299603
000178,motion,0.009043946226634446
000179,defocus,0.004107149801313592
000180,motion,0.016528330717919728
000181,motion,0.003280629885348806
000182,motion,0.01192890975043035
000183,defocus,0.020652588436038895
000184,motion,0.02162206629193957
000185,motion,0.014564190730478743
000186,motion,0.010657735381205574
000187,motion,0.020224169381374273
000188,motion,0.026676614879942526
000189,defocus,0.026040559241857695
000190,motion,0.026049502766213123
000191,defocus,0.02260919526856388
000192,defocus,0.02382776635242726
000193,motion,0.011578335976335992
000194,motion,0.005746119753778317
000195,motion,0.006632832880642237
000196,motion,0.006128901096396382
000197,defocus,0.017212942912421623
000198,defocus,0.02738465546326275
000199,defocus,0.009376626728195194
000200,motion,0.02680913681476822
000201,motion,0.0017144548101636085
000202,defocus,0.01588493385459246
000203,defocus,0.018489765058505088
000204,defocus,0.015941779983117993
000205,defocus,0.010793936467394533
000206,defocus,0.026756658384515214
000207,motion,0.00871481791372702
000208,motion,0.01926810783471275
000209,motion,0.015103938412169324
000210,defocus,0.013539321432268062
000211,defocus,0.01734696561330321
000212,motion,0.02720663227569754
000213,motion,0.02159096192367361
000214,motion,0.01853365623132056
000215,motion,0.006269161024013646
000216,motion,0.010789375698723496
000217,defocus,0.0005974211572278884
000218,motion,0.010317833765792896
000219,motion,0.008451495531998554
000220,defocus,0.0034260947287920833
000221,defocus,0.024781654315334075
000222,defocus,0.007552744065423215
000223,defocus,0.0220873852931601
000224,motion,0.009113752061445886
000225,motion,0.022567231030553518
000226,motion,0.006853114920131688
000227,motion,0.017019210265503976
000228,defocus,0.009704831469667712
